program_name,city,latitude,longitude
Экономика в строительстве и ЖКХ,Волгоград,48.7081906,44.5153353
Предупреждение и ликвидация чрезвычайных ситуаций,Волгоград,48.7081906,44.5153353
Экологическая безопасность в техносфере,Волгоград,48.7081906,44.5153353
Машинное обучение и интеллектуальный анализ данных,Волгоград,48.7081906,44.5153353
"Цифровые технологии в урбанистике, архитектуре и строительстве",Волгоград,48.7081906,44.5153353
Судебная строительно-техническая и стоимостная экспертиза объектов недвижимости,Волгоград,48.7081906,44.5153353
Автомобильные дороги,Волгоград,48.7081906,44.5153353
Инновационные технологии в городском строительстве,Волгоград,48.7081906,44.5153353
Техническая эксплуатация объектов жилищно-коммунального хозяйства,Волгоград,48.7081906,44.5153353
Проектирование и строительство нефтегазовых комплексов,Волгоград,48.7081906,44.5153353
Промышленное и гражданское строительство: технологии и организация строительства,Волгоград,48.7081906,44.5153353
Инженерия историко-политических нарративов,Санкт-Петербург,59.9606739,30.1586551
Стратегическое управление безопасностью предприятий,Санкт-Петербург,59.9606739,30.1586551
Разработка кроссплатформенных систем с использованием искусственного интеллекта,Санкт-Петербург,59.9606739,30.1586551
Системный анализ в информационных технологиях,Санкт-Петербург,59.9606739,30.1586551
Пищевые технологии продуктов и напитков из растительного сырья,Барнаул,53.3475493,83.7788448
Профориентация и карьерный консалтинг,Пермь,58.0108531,56.2318528
Английский язык в международном образовательном пространстве,Пермь,58.0108531,56.2318528
Информационные технологии и искусственный интеллект в АПК,Иркутск,52.2891225,104.279829
Декоративно-прикладное творчество,Красноярск,56.0091173,92.872586
Изучение и охрана объектов культурного наследия,Вологда,59.2189391,39.8933913
История России XX века,Вологда,59.2189391,39.8933913
Передовые технологии машиностроения,Кемерово,55.3550907,86.0871213
Психологическая помощь в экстремальных и трудных жизненных ситуациях,Чебоксары,56.1399598,47.2480999
Современные технологии естествознания и физической культуры,Чебоксары,56.1399598,47.2480999
Правовое обеспечение использования искусственного интеллекта,Нижний Новгород,56.3264816,44.0051395
Государственное регулирование опеки и попечительства,Нижний Новгород,56.3264816,44.0051395
Государственное управление налоговой политикой региона,Нижний Новгород,56.3264816,44.0051395
Цифровая медиалингвистика,Москва,55.625578,37.6063916
Менеджмент и маркетинг спорта и фитнес-индустрии,Саранск,54.18671,45.18383
Дополнительное художественное образование детей средствами искусства,Саранск,54.18671,45.18383
Управление образовательной организацией дошкольного образования,Саранск,54.18671,45.18383
Языковое образование и лингвистика,Саранск,54.18671,45.18383
Географическое образование и экологическая безопасность,Саранск,54.18671,45.18383
Публичная история и историческое просвещение,Саранск,54.18671,45.18383
Архитектура биолого-химического мышления,Саранск,54.18671,45.18383
Моделирование образовательных программ в области физики и математики,Саранск,54.18671,45.18383
Финансовые технологии и маркетинг,Челябинск,55.1598408,61.4025547
Управление финансами,Челябинск,55.1598408,61.4025547
Иноязычное образование и межкультурная коммуникация (Foreign Language Education and Interc..,Челябинск,55.1598408,61.4025547
Цифровая трансформация и управление на основе данных,Челябинск,55.1598408,61.4025547
Разработка программного обеспечения,Челябинск,55.1598408,61.4025547
"Стратегическое, оперативное планирование и управление инвестиционными проектами",Новокузнецк,53.7575903,87.1358494
Бережливые технологии в производственных системах,Новокузнецк,53.7575903,87.1358494
Материаловедение и технологии материалов,Новокузнецк,53.7575903,87.1358494
Стратегическое развитие бизнеса на азиатских рынках,Новосибирск,55.0288307,82.9226887
Перспективные вычислительные технологии и сети,Москва,55.625578,37.6063916
Технологии параллельного программирования и высокопроизводительные вычисления,Москва,55.625578,37.6063916
Распределенные системы и компьютерные сети,Москва,55.625578,37.6063916
Архитектура и алгоритмы систем наземной и спутниковой мобильной связи,Новосибирск,55.0288307,82.9226887
Клиническая психология в системе комплексной реабилитации и абилитации,Москва,55.625578,37.6063916
Управление информационными системами в бизнесе,Москва,55.625578,37.6063916
Управление информационными системами в бизнесе,Горно-Алтайск,51.957775,85.963653
Геоэкология и управление природными экосистемами,Горно-Алтайск,51.957775,85.963653
Информационно-вычислительные системы и комплексы,Калуга,54.5101087,36.2598115
Международное право и юридическая практика,Москва,55.625578,37.6063916
Финансовые технологии и аналитика данных,Москва,55.625578,37.6063916
Внутренняя политика и социальная архитектура,Москва,55.625578,37.6063916
Управление внутренним брендом и корпоративной культурой,Москва,55.625578,37.6063916
Бизнес-стратегии и социально-ответственное управление,Москва,55.625578,37.6063916
Бизнес-аналитика и финансово-управленческие решения,Москва,55.625578,37.6063916
Промышленный дизайн и инновации,Москва,55.625578,37.6063916
Глобальная педагогика,Москва,55.625578,37.6063916
"Педагогика, психология и методика обучения иностранным языкам",Москва,55.625578,37.6063916
Сравнительные юридические стратегии в правовой политике,Москва,55.625578,37.6063916
Право и политика в контексте публичной власти,Москва,55.625578,37.6063916
Зарубежное регионоведение: Африка,Москва,55.625578,37.6063916
"Гражданское право, семейное право, предпринимательское право, международное частное право",Москва,55.625578,37.6063916
Обеспечение финансовой безопасности,Москва,55.625578,37.6063916
E-commerce - электронная коммерция,Москва,55.625578,37.6063916
Устойчивое управление городом и зеленой инфраструктурой,Москва,55.625578,37.6063916
Умная логистика (Smart Logistics) и управление цепями поставок,Москва,55.625578,37.6063916
Управление международными проектами,Москва,55.625578,37.6063916
Управление экономикой малых городов и сельских территорий,Москва,55.625578,37.6063916
Агробизнес,Москва,55.625578,37.6063916
Ивент менеджмент: организация конгрессных и культурно-массовых событий,Москва,55.625578,37.6063916
Ветеринарное (ветеринарно-санитарное) обеспечение подразделений федеральных органов исполн..,Москва,55.625578,37.6063916
"Новые материалы и технологии опто-, нано- и микроэлектроники",Москва,55.625578,37.6063916
Интеллектуальные транспортные системы,Москва,55.625578,37.6063916
Технологии интеллектуального архитектурного проектирования,Москва,55.625578,37.6063916
Искусственный интеллект в строительстве,Москва,55.625578,37.6063916
Анализ больших данных и технологии защиты информации,Москва,55.625578,37.6063916
Искусственный интеллект в нефтегазовом деле,Москва,55.625578,37.6063916
Интеллектуальные транспортные системы,Москва,55.625578,37.6063916
Логистика в мультимодальных транспортных системах,Москва,55.625578,37.6063916
Современные конструкционные материалы,Москва,55.625578,37.6063916
