id,name,code,sphere,career_prospects,cost,min_budget_score,budget_places,min_paid_score,paid_places,url
97,Цифровой мониторинг промышленного оборудования нефтегазовой отрасли,09.04.02,Информационные системы и технологии,"Инженер по технологическому обеспечению работы нефтегазового промысла, Информатик (специалист по информационным технологиям), Специалист по диспетчерско-технологическому управлению нефтегазовой отраслии остальные",160500.0,,,30.0,15.0,https://vuzopedia.ru/program/magistratura/13099
98,Архитектура интеллектуальных систем,09.04.01,Информатика и вычислительная техника,"Информатик (специалист по информационным технологиям), Intelligent Systems Developer (разработчик интеллектуальных систем), Специалист по интегрированным интеллектуальным робототехническим комплексами остальные",154000.0,8.0,,30.0,10.0,https://vuzopedia.ru/program/magistratura/13096
99,Современные технологии инклюзивного образования,44.04.02,Психолого-педагогическое образование,"Педагог, Педагог инклюзивного образования, Педагог-организатори остальные",,12.0,,,,https://vuzopedia.ru/program/magistratura/13094
100,Операционное управление организацией,38.04.02,Менеджмент,"Менеджер по развитию, Менеджер, Руководительи остальные",,10.0,,,,https://vuzopedia.ru/program/magistratura/13091
101,Энергетические комплексы морской техники,26.04.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры","Инженер-энергетик, Морской инженер, Системный инженер морской инфраструктурыи остальные",,18.0,,,,https://vuzopedia.ru/program/magistratura/13088
102,Биотехнология и инжиниринг пищевых производств,19.04.01,Биотехнология,"Биоинженер, Биотехнолог, Инженер-технолог пищевого производстваи остальные",,10.0,,,,https://vuzopedia.ru/program/magistratura/13085
103,Промышленный биоинжиниринг,19.04.01,Биотехнология,"Биоинженер, Генетик, Биолог-исследовательи остальные",,10.0,,,,https://vuzopedia.ru/program/magistratura/13082
104,Агрогенетика,19.04.01,Биотехнология,"Биолог, Генетик, Биолог-исследовательи остальные",,10.0,,,,https://vuzopedia.ru/program/magistratura/13079
105,Биомедицинская химия и биохимические технологии,18.04.01,Химическая технология,"Химик-технолог, Биохимик, Специалист биохимического производстваи остальные",,10.0,,,,https://vuzopedia.ru/program/magistratura/13076
106,Химические технологии в нефтегазовой отрасли,18.04.01,Химическая технология,"Нефтехимик, инженер-нефтехимик, Химик-технолог, Химики остальные",,10.0,,,,https://vuzopedia.ru/program/magistratura/13073
107,Технологии мониторинга морских экосистем и морское природопользование,05.04.06,Экология и природопользование,"Гидроэколог, Эксперт-эколог, Экологи остальные",,11.0,,,,https://vuzopedia.ru/program/magistratura/13070
108,Менеджмент в креативных индустриях,51.04.01,Культурология,"Менеджер социально-культурной деятельности, Менеджер, Бренд-менеджери остальные",120000.0,,,45.0,10.0,https://vuzopedia.ru/program/magistratura/13067
109,Психология и педагогика в наукоемких и высокотехнологичных сферах,44.04.02,Психолого-педагогическое образование,"Педагог-психолог, Киберпсихолог, Корпоративный психологи остальные",380000.0,,,80.0,5.0,https://vuzopedia.ru/program/magistratura/13066
110,Стратегический менеджмент в цифровой экономике,38.04.02,Менеджмент,"Бухгалтер-экономист, Инженер-экономист, Менеджери остальные",196000.0,5.0,,80.0,50.0,https://vuzopedia.ru/program/magistratura/13063
111,Доверенные программно-аппаратные комплексы и системы на кристалле для объектов критической..,27.04.03,Системный анализ и управление,"Аналитик информационной безопасности, Инженер информационной безопасности, Информатик (специалист по информационным технологиям)и остальные",417000.0,8.0,,80.0,7.0,https://vuzopedia.ru/program/magistratura/13060
112,Технологии искусственного интеллекта в системной инженерии,27.04.03,Системный анализ и управление,"Инженер-системотехник, Специалист по искусственному интеллекту, Техник по информационным системами остальные",417000.0,8.0,,80.0,6.0,https://vuzopedia.ru/program/magistratura/13057
113,Экспериментальная и теоретическая ядерная физика,14.04.02,Ядерные физика и технологии,"Физик-атомщик (физик-ядерщик), Инженер-атомщик, Специалист ядерно-физической лаборатории в области атомной энергетикии остальные",476000.0,,,80.0,5.0,https://vuzopedia.ru/program/magistratura/13054
114,Разработка и конструирование ядерных и киберфизических систем,14.04.02,Ядерные физика и технологии,"Физик-атомщик (физик-ядерщик), Инженер-физик, Специалист по киберфизическим системами остальные",476000.0,6.0,,80.0,1.0,https://vuzopedia.ru/program/magistratura/13051
