id,name,code,sphere,career_prospects,cost,min_budget_score,budget_places,min_paid_score,paid_places,url
252,Квантовые вычисления и кибербезопасность,03.03.01,Прикладные математика и физика,"Инженер-физик, Специалист по технологиям и приборам квантовой электроники и фотоники, Специалист по киберфизическим системами остальные",,15.0,,121.0,5.0,https://vuzopedia.ru/program/bakispec/12465
253,Политика и история стран Восточной Азии,41.03.01,Зарубежное регионоведение,"Политолог, Переводчик китайского языка, Специалист в области международных отношенийи остальные",,8.0,,120.0,10.0,https://vuzopedia.ru/program/bakispec/12462
254,Информационные технологии проектирования робототехнических систем и устройств,11.03.03,Конструирование и технология электронных средств,"Инженер-мехатроник, Инженер электронной техники, Инженер-электроники остальные",,19.0,,,,https://vuzopedia.ru/program/bakispec/12460
255,Оптические и квантовые инфокоммуникационные технологии и системы,11.03.02,Инфокоммуникационные технологии и системы связи,"Инженер по радиоэлектронной борьбе, Инженер по спутниковым коммуникациям, Инженер связии остальные",,36.0,,,,https://vuzopedia.ru/program/bakispec/12457
256,Информационные технологии в бизнесе,38.03.05,Бизнес-информатика,"IT-директор (CIO), Аналитик данных, Консультант по электронному бизнесуи остальные",136000.0,20.0,,120.0,15.0,https://vuzopedia.ru/program/bakispec/12454
257,Экономика и организация пассажирского транспорта,38.03.01,Экономика,"Бухгалтер-экономист, Инженер-экономист, Экономисти остальные",520000.0,289.0,7.0,120.0,10.0,https://vuzopedia.ru/program/bakispec/12452
258,Экономика и управление производством в сфере автомобилестроения,38.03.01,Экономика,"Бухгалтер-экономист, Инженер-экономист, Экономисти остальные",520000.0,289.0,4.0,120.0,10.0,https://vuzopedia.ru/program/bakispec/12449
259,Фудтех инжиниринг,15.03.02,Технологические машины и оборудование,"Системный архитектор, архитектор программного обеспеченияи остальные",370000.0,,,172.0,10.0,https://vuzopedia.ru/program/bakispec/12446
260,Digital-филология и медиакоммуникации,45.03.01,Филология,"Филолог-русист (русист), Специалист по медиакоммуникациями остальные",,15.0,,,,https://vuzopedia.ru/program/bakispec/12444
261,Цифровой дизайн и декоративно-прикладное искусство,44.03.04,Профессиональное обучение (по отраслям),Дизайнери остальные,,15.0,,,,https://vuzopedia.ru/program/bakispec/12441
262,"Европейские языки (английский, немецкий), Восточный язык (китайский)",44.03.05,Педагогическое образование (с двумя профилями подготовки),"Учитель китайского языка, Филолог-англист (англист), Филолог-германист (германист)и остальные",,14.0,,,,https://vuzopedia.ru/program/bakispec/12438
263,"Дошкольное образование, Дополнительное образование (творчество)",44.03.05,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учительи остальные",,14.0,,,,https://vuzopedia.ru/program/bakispec/12435
264,Маркетинг и управление бизнесом,38.03.01,Экономика,"Маркетолог, Менеджер непрерывности бизнеса, Предпринимательи остальные",,17.0,,120.0,10.0,https://vuzopedia.ru/program/bakispec/12432
265,Родной язык и литература и монгольский язык,44.03.05,Педагогическое образование (с двумя профилями подготовки),"Учитель, Учитель русского языка и литературы, Преподаватель монгольского языкаи остальные",159000.0,145.0,25.0,135.0,5.0,https://vuzopedia.ru/program/bakispec/12429
266,Менеджмент в управлении развитием территорий,07.03.04,Градостроительство,"Архитектор-градостроитель, Менеджери остальные",,,,130.0,30.0,https://vuzopedia.ru/program/bakispec/12427
267,Пожарная безопасность в строительстве,20.05.01,Пожарная безопасность,"Инженер охранно-пожарной сигнализации, Инженер по пожарной безопасности, Пожарныйи остальные",,,,99.0,10.0,https://vuzopedia.ru/program/bakispec/12426
268,Градостроительство и дизайн городской среды,07.03.04,Градостроительство,"Архитектор-градостроитель, Дизайнер, Дизайнер городской средыи остальные",,10.0,,130.0,50.0,https://vuzopedia.ru/program/bakispec/12424
269,Проектирование объектов теплоэнергетической отрасли,13.03.01,Теплоэнергетика и теплотехника,"Инженер-проектировщик систем теплоснабжения, Инженер-проектировщик тепловых сетей, Инженер-теплотехники остальные",,,,99.0,10.0,https://vuzopedia.ru/program/bakispec/12423
270,Фундаментальная и прикладная математика,01.03.04,Прикладная математика,"Математик, Разработчик математических и компьютерных моделей, Руководитель по цифровой трансформации (CDO – Chief Data Officer)и остальные",,22.0,,,,https://vuzopedia.ru/program/bakispec/12422
271,Ветеринарная биофармация,33.05.01,Фармация,"Биофармаколог, Фармацевти остальные",,17.0,,120.0,13.0,https://vuzopedia.ru/program/bakispec/12420
272,Психология в бизнесе,37.03.01,Психология,"Бизнес-тренер, Психолог, Корпоративный психологи остальные",100000.0,,,120.0,70.0,https://vuzopedia.ru/program/bakispec/12419
273,Технология производства продуктов свиноводства,36.03.02,Зоотехния,"Зоотехник, Животновод, Оператор свиноводческих комплексов и механизированных ферми остальные",,20.0,,99.0,6.0,https://vuzopedia.ru/program/bakispec/12417
274,Производство и переработка сельскохозяйственной продукции,35.03.07,Технология производства и переработки сельскохозяйственной продукции,"Агроинженер, Биотехнолог, Заготовитель продуктов и сырья, сельхозпродуктови остальные",,45.0,,99.0,10.0,https://vuzopedia.ru/program/bakispec/12414
275,Прикладная информатика в агропромышленном комплексе,09.03.03,Прикладная информатика,"Агроинформатик (агрокибернетик), IT-специалист, Специалист по информационным системами остальные",,15.0,,99.0,40.0,https://vuzopedia.ru/program/bakispec/12411
276,Педагогика дошкольного и начального образования,44.03.01,Педагогическое образование,"Педагог, Учитель начальных классов, Педагог дошкольного образованияи остальные",,,,123.0,10.0,https://vuzopedia.ru/program/bakispec/12408
277,Технология и основы предпринимательской деятельности,44.03.01,Педагогическое образование,Предпринимательи остальные,,,,124.0,10.0,https://vuzopedia.ru/program/bakispec/12405
278,Экономико-правовое образование. Обществознание,44.03.05,Педагогическое образование (с двумя профилями подготовки),"Преподаватель экономики, Учитель обществознания, Экономисти остальные",,18.0,,,,https://vuzopedia.ru/program/bakispec/12402
279,Русский язык. Дополнительное образование (пиар и коммуникации),44.03.05,Педагогическое образование (с двумя профилями подготовки),"Педагог, Учитель русского языка и литературыи остальные",,25.0,,,,https://vuzopedia.ru/program/bakispec/12399
280,Информатика и Графический дизайн,44.03.05,Педагогическое образование (с двумя профилями подготовки),"Педагог, Информатик (специалист по информационным технологиям), Дизайнери остальные",,,,118.0,50.0,https://vuzopedia.ru/program/bakispec/12397
281,Цифровые технологии в управлении персоналом,38.03.03,Управление персоналом,"HR-специалист, Менеджер по персоналуи остальные",55000.0,3.0,,136.0,57.0,https://vuzopedia.ru/program/bakispec/12394
282,Международный и внутренний туризм в регионах курортного и промышленного значения,43.03.02,Туризм,"Менеджер по туризму, Специалист по туризму, Режиссёр индивидуальных турови остальные",142600.0,22.0,,120.0,3.0,https://vuzopedia.ru/program/bakispec/12391
283,Промышленное и гражданское строительство объектов нефтегазового комплекса,21.03.01,Нефтегазовое дело,"Инженер по технологическому обеспечению работы нефтегазового промысла, Конструктор-проектировщик нефтегазового оборудования, Менеджер нефтегазовых проектови остальные",73000.0,25.0,,120.0,30.0,https://vuzopedia.ru/program/bakispec/12388
284,Цифровые двойники и системы управления,27.03.04,Управление в технических системах,"Аналитик данных, Системный аналитик, Руководитель по цифровой трансформации (CDO – Chief Data Officer)и остальные",,30.0,,,,https://vuzopedia.ru/program/bakispec/12385
