id,program_name,id_program,min_cost,min_point_for_budget,min_point_for_paid,sphere,who_will_be_in_the_future,budget_places
393,Культурный менеджмент и кураторство арт-проектами,51.03.01,,190.0,,Культурология,"Культорганизатор, Куратор мультимедийных выставок, Личный тьютор по эстетическому развитию и остальные",12.0
394,Арт-критика,50.03.04,,215.0,,Теория и история искусств,"Искусствовед, Личный тьютор по эстетическому развитию, Музеевед и остальные",5.0
395,"Педагог спортивно-бального танца, тренер",44.03.01,153755.0,285.0,205.0,Педагогическое образование,"Педагог, Учитель, Спортивный тренер и остальные",6.0
396,Лечебно-диагностический профиль,34.03.01,80500.0,,131.0,Сестринское дело,"Медицинская сестра (медсестра), Медицинская сестра по массажу, Младшая медицинская сестра по уходу за больными и остальные",
397,Финансы и управление активами,38.03.01,80500.0,,137.0,Экономика,"Финансист, Бухгалтер-экономист, Private equity analyst и остальные",
398,Корабельные и судовые энергетические установки,26.05.02,427900.0,185.0,133.0,"Проектирование, изготовление и ремонт энергетических установок и систем автоматизации кораблей и судов","Инженер-энергетик, Инженер по электроприводу, Инженер по энергетическому машиностроению и остальные",24.0
399,Интеллектуальное управление морскими беспилотными системами,27.03.04,266200.0,199.0,129.0,Управление в технических системах,"Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов, Инженер-системотехник, Разработчик систем компьютерного зрения и остальные",44.0
400,Оборудование и технология сварочного производства (программа подготовки инженеров-сварщико..,15.03.01,266200.0,224.0,119.0,Машиностроение,"Инженер, Инженер-технолог, Инженер по сварке и остальные",14.0
401,Морская добыча и подготовка к транспортировке нефти и газа,13.03.03,266200.0,188.0,119.0,Энергетическое машиностроение,"Инженер, Дефектоскопист нефтепроводов, Инженер по энергетическому машиностроению и остальные",25.0
402,Программно-аппаратные комплексы управления и обработки информации,09.03.01,266200.0,224.0,134.0,Информатика и вычислительная техника,"Программист, Системный администратор, Администратор сайта и остальные",33.0
403,Искусственный интеллект и цифровые технологии в промышленности,09.03.01,266200.0,224.0,134.0,Информатика и вычислительная техника,"Аналитик компьютерных систем, Разработчик нейронных сетей, Intelligent Systems Developer (разработчик интеллектуальных систем) и остальные",29.0
404,Программное обеспечение интеллектуальных компьютерных и встраиваемых систем,09.03.01,266200.0,224.0,134.0,Информатика и вычислительная техника,"Программист, Администратор баз данных, Инженер по сопровождению программного обеспечения и остальные",29.0
405,Технологии материалов микроэлектроники,22.03.01,348000.0,203.0,138.0,Материаловедение и технологии материалов,"Инженер по наноэлектронике, Наноинженер, Нанотехнолог и остальные",25.0
406,Конструирование и производство технологического оборудования для производства электронной ..,11.03.03,,215.0,,Конструирование и технология электронных средств,"Инженер-конструктор, Инженер-схемотехник, Инженер по оборудованию и остальные",25.0
407,Графический дизайн и мультимедиа,54.03.01,90000.0,,137.0,Дизайн,"Web-дизайнер, Графический дизайнер, Креативный директор и остальные",
